Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1988-12-11,274.93,279.01,271.81,277.03,394044445
1988-12-18,277.03,278.82,274.01,276.29,401194445
1988-12-25,276.29,280.45,275.61,277.87,390477778
1989-01-01,277.87,279.78,276.17,277.72,253677778
1989-01-08,277.72,282.06,273.81,280.67,340872223
1989-01-15,280.67,284.63,279.44,283.87,426594445
1989-01-22,283.87,287.9,282.65,286.63,448283333
1989-01-29,287.85,296.08,284.5,293.82,545550000
1989-02-05,293.82,298.33,293.54,296.97,518850001
1989-02-12,296.97,300.57,291.96,292.02,530800000
1989-02-19,292.02,297.12,290.88,296.76,436288888
1989-02-26,296.76,297.04,287.13,287.13,342300000
1989-03-05,287.13,291.18,286.26,291.18,432394445
1989-03-12,291.2,295.62,291.18,292.88,443883332
1989-03-19,292.88,299.99,291.08,292.69,492466666
1989-03-26,292.69,292.69,288.56,288.98,329772222
1989-04-02,288.98,294.96,288.07,294.87,408072222
1989-04-09,294.87,297.62,294.35,297.16,441500001
1989-04-16,297.16,301.38,296.27,301.36,415216666
1989-04-23,301.36,309.61,300.71,309.61,495544444
1989-04-30,309.61,310.45,306.07,309.64,446211111
1989-05-07,309.64,310.69,306.98,307.61,453466666
1989-05-14,307.61,313.84,304.06,313.84,446849999
1989-05-21,313.84,321.38,313.84,321.24,535305556
1989-05-28,321.24,323.06,317.58,321.59,471605555
1989-06-04,321.59,325.63,317.83,325.52,425894444
1989-06-11,325.52,327.39,321.27,326.69,527916667
1989-06-18,326.69,326.69,318.69,321.35,506033332
1989-06-25,321.35,328,319.25,328,468016666
1989-07-02,328,329.19,314.38,317.98,450416667
1989-07-09,317.98,325.87,317.26,324.91,279700000
1989-07-16,324.93,331.89,324.91,331.84,445172222
1989-07-23,331.78,337.4,330.75,335.9,488622223
1989-07-30,335.9,342.96,332.6,342.15,498938888
1989-08-06,342.13,347.99,342.02,343.92,506738890
1989-08-13,343.92,351.18,343.91,344.74,557794445
1989-08-20,344.71,346.39,341.96,346.03,413450000
1989-08-27,346.03,352.73,339,350.52,461011111
1989-09-03,350.52,353.9,348.66,353.73,421588890
1989-09-10,353.73,354.13,345.74,348.76,345127779
1989-09-17,348.76,350.1,341.37,345.06,459777779
1989-09-24,345.06,348.46,344.6,347.05,386372222
1989-10-01,347.05,350.31,342.85,349.15,420788888
1989-10-08,349.15,359.05,348.35,358.78,474977778
1989-10-15,358.76,360.44,332.81,333.65,449850001
1989-10-22,333.65,348.82,327.12,347.16,650116666
1989-10-29,347.11,348.19,333.26,335.06,486133334
1989-11-05,335.06,341.74,334.48,337.62,411616667
1989-11-12,337.61,339.41,330.91,339.1,413233334
1989-11-19,339.08,342.24,337.06,341.61,410244444
1989-11-26,341.61,344.24,337.53,343.97,282272223
1989-12-03,343.98,351.88,343.36,350.63,446016667
1989-12-10,350.63,352.24,346,348.69,420966667
1989-12-17,348.68,354.1,346.08,350.14,515388889
1989-12-24,350.14,350.88,339.63,347.42,468588890
1989-12-31,347.42,353.41,346.53,353.4,269622223
1990-01-07,353.4,360.59,351.35,352.2,383294444
1990-01-14,352.2,354.24,339.49,339.93,449766667
1990-01-21,339.93,342.01,333.37,339.15,478505557
1990-01-28,339.14,339.96,321.44,325.8,503316667
1990-02-04,325.8,332.1,319.83,330.92,469688889
1990-02-11,330.92,336.09,326.55,333.62,430488889
1990-02-18,333.62,335.64,327.92,332.72,412705555
1990-02-25,332.72,332.72,322.1,324.15,355194444
1990-03-04,324.16,335.54,323.98,335.54,448972221
1990-03-11,335.54,340.66,333.49,337.93,427022222
1990-03-18,337.93,341.91,334.93,341.91,429011111
1990-03-25,341.91,344.49,333.62,337.22,421450000
1990-04-01,337.22,342.58,337.03,339.94,367527779
1990-04-08,339.94,344.12,336.33,340.08,399922222
1990-04-15,340.08,344.79,339.88,344.34,296966667
1990-04-22,344.34,347.3,333.41,335.12,413955556
1990-04-29,335.12,335.12,328.71,329.11,377194445
1990-05-06,329.11,338.46,327.76,338.39,388605555
1990-05-13,338.39,352.31,338.11,352,456505556
1990-05-20,352,358.41,351.95,354.64,487911111
1990-05-27,354.64,360.5,353.78,354.58,454083334
1990-06-03,354.58,363.52,354.55,363.16,383611112
1990-06-10,363.16,368.78,357.68,358.71,467905556
1990-06-17,358.71,367.27,357.7,362.91,431366667
1990-06-24,362.91,363.2,355.31,355.43,398311110
1990-07-01,355.42,359.09,351.23,358.02,390427778
1990-07-08,358.02,360.73,354.64,358.42,277944444
1990-07-15,358.42,369.68,356.41,367.31,476677778
1990-07-22,367.31,369.78,361.29,361.61,463766667
1990-07-29,361.61,361.61,350.09,353.44,476994445
1990-08-05,353.44,357.54,338.2,344.86,582822222
1990-08-12,344.86,344.86,332.22,335.52,535294445
